"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                Business surveys - NACE Rev. 2 activity"	"ei_bcs_bs"	"folder"	" "	" "	" "	" "	
"                    Industry confidence indicator and survey results - monthly data"	"ei_bsin_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1980-01"	"2025-09"	240501
"                    Industry survey results - quarterly data"	"ei_bsin_q_r2"	"dataset"	"30.07.2025"	"30.07.2025"	"1980-Q1"	"2025-Q3"	84018
"                    Construction confidence indicator and survey results - monthly data"	"ei_bsbu_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1980-01"	"2025-09"	271537
"                    Construction survey results - quarterly data"	"ei_bsbu_q_r2"	"dataset"	"27.06.2024"	"29.04.2024"	"1981-Q1"	"2024-Q2"	7399
"                    Retail trade confidence indicator and survey results- monthly data"	"ei_bsrt_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1984-02"	"2025-09"	154570
"                    Services confidence indicator and survey results - monthly data"	"ei_bsse_m_r2"	"dataset"	"29.09.2025"	"29.09.2025"	"1988-01"	"2025-09"	111389
"                    Services survey results - quarterly data"	"ei_bsse_q_r2"	"dataset"	"30.07.2025"	"30.07.2025"	"2001-Q2"	"2025-Q3"	34490
"                    Financial services confidence indicator and survey results - monthly data"	"ei_bsfs_m"	"dataset"	"27.06.2024"	"21.12.2023"	"2006-04"	"2023-03"	9792
"                    Financial services survey results - quarterly data"	"ei_bsfs_q"	"dataset"	"27.06.2024"	"21.12.2023"	"2007-Q3"	"2023-Q1"	9072
"                    Consumers confidence indicator and survey results - monthly data"	"ei_bsco_m"	"dataset"	"29.09.2025"	"29.09.2025"	"1980-01"	"2025-09"	294822
"                    Consumers survey results - quarterly data"	"ei_bsco_q"	"dataset"	"30.07.2025"	"30.07.2025"	"1990-Q1"	"2025-Q3"	14546
"            Consumer prices"	"ei_cp"	"folder"	" "	" "	" "	" "	
"                Harmonised index of consumer prices - monthly data"	"ei_cphi_m"	"table"	"17.10.2025"	"01.10.2025"	"1996-01"	"2025-09"	972597
"            Housing price statistics"	"ei_hp"	"folder"	" "	" "	" "	" "	
"                House price index (2015 = 100) - quarterly data"	"ei_hppi_q"	"table"	"03.10.2025"	"03.10.2025"	"2005-Q1"	"2025-Q2"	7681
"            Industry, trade and services"	"ei_is"	"folder"	" "	" "	" "	" "	
"                Industry index by NACE Rev. 2 activity - monthly data"	"ei_isin_m"	"table"	"25.10.2025"	"11.10.2025"	"1980-01"	"2025-09"	2774837
"                Industry growth rates by NACE Rev. 2 activity - monthly data"	"ei_isir_m"	"table"	"25.10.2025"	"11.10.2025"	"1980-01"	"2025-09"	735329
"                Industry index by NACE Rev. 2 activity - quarterly data"	"ei_isind_q"	"table"	"25.10.2025"	"22.10.2025"	"1989-Q4"	"2025-Q3"	666706
"                Construction index by NACE Rev. 2 activity - monthly data"	"ei_isbu_m"	"table"	"23.10.2025"	"16.10.2025"	"1980-01"	"2025-09"	178553
"                Construction growth rates by NACE Rev. 2 activity - monthly data"	"ei_isbr_m"	"table"	"22.10.2025"	"16.10.2025"	"1980-02"	"2025-09"	90209
"                Construction index by NACE Rev. 2 activity - quarterly data"	"ei_isbu_q"	"table"	"25.10.2025"	"22.10.2025"	"1980-Q1"	"2025-Q3"	76902
"                Retail trade index by NACE Rev. 2 activity - monthly data"	"ei_isrt_m"	"table"	"25.10.2025"	"30.09.2025"	"1991-01"	"2025-08"	547234
"                Retail trade growth rates by NACE Rev. 2 activity - monthly data"	"ei_isrr_m"	"table"	"25.10.2025"	"26.09.2025"	"1991-02"	"2025-08"	262746
"                Retail trade index by NACE Rev. 2 activity - quarterly data"	"ei_isrt_q"	"table"	"23.10.2025"	"22.10.2025"	"1989-Q4"	"2025-Q3"	14936
"                Turnover in services index - quarterly data"	"ei_isset_q"	"table"	"23.10.2025"	"05.08.2025"	"1994-Q1"	"2025-Q2"	63950
"                Turnover in services growth rates by NACE Rev. 2 activity - quarterly data"	"ei_isse_q"	"table"	"23.10.2025"	"05.08.2025"	"1994-Q1"	"2025-Q2"	26880
"                Service producer prices index - quarterly data"	"ei_isppi_q"	"table"	"25.10.2025"	"17.10.2025"	"1996-Q1"	"2025-Q3"	17923
"                Service producer prices growth rates - quarterly data"	"ei_isppe_q"	"table"	"25.10.2025"	"17.10.2025"	"1996-Q1"	"2025-Q3"	24014
"                Energy - monthly data"	"ei_isen_m"	"table"	"27.10.2025"	"27.10.2025"	"2008-01"	"2025-09"	89233
"                Production in services growth rates by NACE Rev.2 activity - monthly data"	"ei_isspr_m"	"table"	"25.10.2025"	"21.10.2025"	"2000-02"	"2025-08"	45821
"                Production in services index by NACE Rev.2 activity - monthly data"	"ei_issp_m"	"table"	"25.10.2025"	"21.10.2025"	"2000-01"	"2025-08"	70166
"                Production in services index by NACE Rev.2 activity - quarterly data"	"ei_issp_q"	"table"	"23.10.2025"	"21.10.2025"	"2000-Q1"	"2025-Q2"	15211
"            International trade"	"ei_et"	"folder"	" "	" "	" "	" "	
"                EU27 (from 2020) international trade - monthly data"	"ei_eteu27_2020_m"	"table"	"16.10.2025"	"16.10.2025"	"2002-01"	"2025-08"	6218633
"                Euro area international trade - monthly data"	"ei_etea_m"	"table"	"16.10.2025"	"16.10.2025"	"2002-01"	"2025-08"	1061715
"            Labour market"	"ei_lm"	"folder"	" "	" "	" "	" "	
"                Unemployment (1 000) - monthly data"	"ei_lmhu_m"	"table"	"21.10.2025"	"06.10.2025"	"1983-01"	"2025-09"	249881
"                Unemployment rate (%) - monthly data"	"ei_lmhr_m"	"table"	"21.10.2025"	"06.10.2025"	"1983-01"	"2025-09"	246433
"                Labour cost index, nominal value - quarterly data"	"ei_lmlc_q"	"table"	"16.09.2025"	"20.08.2025"	"1996-Q1"	"2025-Q2"	2155856
"                Job vacancy rate - quarterly data"	"ei_lmjv_q_r2"	"table"	"15.09.2025"	"20.08.2025"	"2001-Q1"	"2025-Q2"	100449
"            Monetary and financial indicators"	"ei_mf"	"folder"	" "	" "	" "	" "	
"                Interest rates - monthly data"	"ei_mfir_m"	"table"	"11.10.2025"	"11.10.2025"	"1980-01"	"2025-09"	21834
"                Euro/Ecu exchange rates - monthly data"	"ei_mfrt_m"	"table"	"10.10.2025"	"30.09.2025"	"1999-01"	"2025-09"	11445
"                Effective exchange rates indices - monthly data"	"ei_mfef_m"	"table"	"18.10.2025"	"14.10.2025"	"1999-01"	"2025-08"	57600
"            National accounts"	"ei_qna"	"folder"	" "	" "	" "	" "	
"                Main GDP aggregates"	"ei_namq_10_ma"	"folder"	" "	" "	" "	" "	
"                    Gross domestic product (GDP) and main components (output, expenditure and income)"	"namq_10_gdp"	"dataset"	"27.10.2025"	"09.09.2025"	"1975-Q1"	"2025-Q2"	8083814
"                        Gross domestic product (GDP) at market prices - quarterly data"	"tipsna15"	"table"	"27.10.2025"	"09.09.2025"	"1995-Q1"	"2025-Q2"	6588
"                    Household final consumption expenditure by durability"	"namq_10_fcs"	"dataset"	"20.10.2025"	"29.07.2025"	"1978-Q1"	"2025-Q2"	1082485
"                    Exports and imports by counterpart area"	"namq_10_exi"	"dataset"	"24.10.2025"	"29.07.2025"	"1978-Q1"	"2025-Q2"	682304
"                Basic breakdowns of main GDP aggregates and employment (by industry and assets)"	"ei_namq_10_bbr"	"folder"	" "	" "	" "	" "	
"                    Gross value added and income by main industry (NACE Rev.2 )"	"namq_10_a10"	"dataset"	"27.10.2025"	"29.07.2025"	"1975-Q1"	"2025-Q2"	5859156
"                    Gross fixed capital formation by main asset type"	"namq_10_an6"	"dataset"	"27.10.2025"	"29.07.2025"	"1978-Q1"	"2025-Q2"	2726250
"                    Employment by main industry (NACE Rev.2) - national accounts"	"namq_10_a10_e"	"dataset"	"21.10.2025"	"28.07.2025"	"1980-Q1"	"2025-Q2"	3403016
"                        Employment by NACE Rev.2 - thousand persons"	"tec00109"	"table"	"20.10.2025"	"28.07.2025"	"2022-Q3"	"2025-Q2"	5040
"                        Employment by NACE Rev.2 - percentage change Q/Q-1"	"tec00108"	"table"	"20.10.2025"	"28.07.2025"	"2022-Q3"	"2025-Q2"	5040
"                Quarterly sector accounts (ESA 2010)"	"ei_nasq_10"	"folder"	" "	" "	" "	" "	
"                    Key indicators - quarterly data"	"nasq_10_ki"	"dataset"	"21.10.2025"	"07.10.2025"	"1980-Q1"	"2025-Q2"	25731
"                    Non-financial transactions - quarterly data"	"nasq_10_nf_tr"	"dataset"	"27.10.2025"	"06.10.2025"	"1980-Q1"	"2025-Q2"	3530917
"                Gross domestic product (GDP) and main components (output, expenditure and income)"	"nama_10_gdp"	"dataset"	"27.10.2025"	"09.09.2025"	"1975"	"2024"	1056299
"                    Real GDP growth rate - volume"	"tec00115"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	958
"                    Gross domestic product (GDP) at market prices - annual data"	"tipsna10"	"table"	"27.10.2025"	"09.09.2025"	"1995"	"2024"	2576
"                    Gross domestic product at market prices"	"tec00001"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	980
"                    Compensation of employees"	"tec00013"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	998
"                    Final consumption expenditure of general government"	"tec00010"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	996
"                    Imports of goods and services in % of GDP"	"tet00004"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	1492
"                    Exports of goods and services in % of GDP"	"tet00003"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	1492
"                    Gross fixed capital formation (investments)"	"tec00011"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	996
"                    Goods and services, imports and exports"	"tec00110"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	996
"                    Final consumption expenditure of households and non-profit institutions serving households"	"tec00009"	"table"	"27.10.2025"	"09.09.2025"	"2013"	"2024"	996
"            Euro indicators - vintages of data"	"euroind_vtg"	"folder"	" "	" "	" "	" "	
"                Industrial production - monthly data - vintages from 2021 onwards"	"ei_is_m_vtg"	"dataset"	"15.10.2025"	"15.10.2025"	"1980-01"	"2025-07"	2339117
"                Industrial production - monthly data - vintages from 2001 to 2020"	"ei_is_m_vtgfix"	"dataset"	"05.09.2025"	"05.09.2025"	"1980-01"	"2020-10"	4502499
"                Unemployment - monthly data - vintages from 2021 onwards"	"ei_lm_m_vtg"	"dataset"	"15.10.2025"	"15.10.2025"	"1983-01"	"2025-08"	1358384
"                Unemployment - monthly data - vintages from 2001 to 2020"	"ei_lm_m_vtgfix"	"dataset"	"26.03.2024"	"08.08.2025"	"1980-01"	"2020-11"	3093318
"                Gross domestic product (GDP) - quarterly  data - vintages based on ESA 2010"	"ei_na_q_vtg"	"dataset"	"15.10.2025"	"15.10.2025"	"1995-Q1"	"2025-Q2"	49374
"        Regional statistics by NUTS classification"	"reg"	"folder"	" "	" "	" "	" "	
"            Regional agriculture statistics"	"reg_agr"	"folder"	" "	" "	" "	" "	
"                Agri-environmental indicators"	"reg_aei"	"folder"	" "	" "	" "	" "	
"                    Estimated soil erosion by water, by erosion level, land cover and NUTS 3 region"	"aei_pr_soiler"	"dataset"	"18.12.2019"	"10.01.2024"	"2000"	"2016"	392400
"                    Manure storage facilities by NUTS 3 region"	"aei_fm_ms"	"dataset"	"19.04.2023"	"10.01.2024"	"2000"	"2010"	31658
"                Structure of agricultural holdings"	"reg_ef"	"folder"	" "	" "	" "	" "	
"                    Structure of agricultural holdings 2010"	"reg_ef_2010"	"folder"	" "	" "	" "	" "	
"                        Key farm variables"	"reg_ef_kv"	"folder"	" "	" "	" "	" "	
"                            Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 region"	"ef_kvaareg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	225156
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 region"	"ef_kvecsleg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	291750
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 region"	"ef_kvftreg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	215199
"                        Farm land use - Permanent crops, other farmland, irrigation"	"reg_ef_po"	"folder"	" "	" "	" "	" "	
"                            Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 region"	"ef_poirrig"	"dataset"	"19.04.2018"	"10.01.2024"	"2005"	"2013"	209805
"                        Overview - farm livestock"	"reg_ef_ols"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 region"	"ef_olsaareg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	594155
"                            Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 region"	"ef_olslsureg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	589321
"                        Farm labour force and management"	"reg_ef_molf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 region"	"ef_olfreg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	38800
"                            Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 region (2003-2013)"	"ef_mporganic"	"dataset"	"16.01.2017"	"10.01.2024"	"2003"	"2013"	319965
"                    Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h"	"folder"	" "	" "	" "	" "	
"                        Overview of agricultural holdings"	"reg_ef_ov"	"folder"	" "	" "	" "	" "	
"                            Key variables by legal status of holding, size of farm (UAA) and NUTS 2 region"	"ef_ov_kvaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	250844
"                            Key variables by type of farming (2-digit) and NUTS 2 region"	"ef_ov_kvftreg"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	133474
"                        Land use"	"reg_ef_lu"	"folder"	" "	" "	" "	" "	
"                            Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 region"	"ef_lu_ovcropaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1969784
"                            Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 region"	"ef_lu_ovcropesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1959788
"                            Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 region"	"ef_lu_pcreg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	492194
"                            Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 region"	"ef_lu_ofirrig"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	21949
"                        Livestock"	"reg_ef_ls"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 region"	"ef_ls_ovaareg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	761128
"                            Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 region"	"ef_ls_ovlsureg"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	759761
"                            Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 region"	"ef_ls_ovesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	757142
"                        Special interest topics"	"reg_ef_so"	"folder"	" "	" "	" "	" "	
"                            Organic farming: selected variables by size of farm (UAA) and NUTS 2 region (2000-2007)"	"ef_so_mporg"	"dataset"	"18.04.2009"	"21.12.2023"	"2000"	"2007"	98860
"                            Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 region (1990-2007)"	"ef_so_mptenure"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	111860
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 region"	"ef_so_lfaa"	"dataset"	"15.04.2009"	"21.12.2023"	"1990"	"2007"	1714420
"                            Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 region"	"ef_so_lfesu"	"dataset"	"15.04.2009"	"21.12.2023"	"1990"	"2007"	1676077
"                        Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h_"	"folder"	" "	" "	" "	" "	
"                            Structure of agricultural holdings by NUTS 3 region - main indicators"	"ef_r_nuts"	"dataset"	"10.09.2009"	"21.12.2023"	"2000"	"2007"	615432
"                Agricultural production"	"reg_apro"	"folder"	" "	" "	" "	" "	
"                    Animal populations by NUTS 2 region"	"agr_r_animal"	"dataset"	"22.07.2025"	"03.07.2025"	"1977"	"2024"	444229
"                        Animal populations by NUTS 2 region"	"tgs00045"	"table"	"22.07.2025"	"03.07.2025"	"2013"	"2024"	11966
"                    Production of cow's milk on farms by NUTS 2 region"	"agr_r_milkpr"	"dataset"	"08.10.2025"	"08.09.2025"	"1995"	"2024"	11597
"                        Production of cow's milk on farms by NUTS 2 region"	"tgs00046"	"table"	"08.10.2025"	"08.09.2025"	"2013"	"2024"	3462
"                Regional agriculture statistics"	"reg_agr_"	"folder"	" "	" "	" "	" "	
"                    Economic accounts for agriculture by NUTS 2 region"	"agr_r_accts"	"dataset"	"13.08.2025"	"27.01.2025"	"1980"	"2023"	3132628
"            Regional demographic statistics"	"reg_dem"	"folder"	" "	" "	" "	" "	
"                Population and area"	"reg_dempoar"	"folder"	" "	" "	" "	" "	
"                    Population on 1 January by age, sex and NUTS 2 region"	"demo_r_d2jan"	"dataset"	"14.10.2025"	"13.02.2025"	"1990"	"2024"	4542548
"                        Population on 1 January by NUTS 2 region"	"tgs00096"	"table"	"14.10.2025"	"13.02.2025"	"2013"	"2024"	3834
"                    Area by NUTS 3 region"	"demo_r_d3area"	"dataset"	"25.08.2020"	"10.01.2024"	"1990"	"2015"	70822
"                    Population density by NUTS 3 region"	"demo_r_d3dens"	"dataset"	"02.04.2025"	"02.04.2025"	"1990"	"2023"	55417
"                        Population density"	"tps00003"	"table"	"02.04.2025"	"02.04.2025"	"2012"	"2023"	441
"                        Population density by NUTS 2 region"	"tgs00024"	"table"	"02.04.2025"	"02.04.2025"	"2012"	"2023"	3715
"                    Population on 1 January by age group, sex and NUTS 2 region"	"demo_r_pjangroup"	"dataset"	"14.10.2025"	"13.02.2025"	"1990"	"2024"	998725
"                    Population on 1 January by age group, sex and NUTS 3 region"	"demo_r_pjangrp3"	"dataset"	"14.10.2025"	"14.02.2025"	"2014"	"2024"	1381181
"                    Population on 1 January by broad age group, sex and NUTS 3 region"	"demo_r_pjanaggr3"	"dataset"	"14.10.2025"	"14.02.2025"	"1990"	"2024"	708607
"                    Population structure indicators by NUTS 2 region"	"demo_r_pjanind2"	"dataset"	"09.10.2025"	"13.02.2025"	"1990"	"2024"	715764
"                    Population structure indicators by NUTS 3 region"	"demo_r_pjanind3"	"dataset"	"09.10.2025"	"14.02.2025"	"2014"	"2024"	1026383
"                    Population change - Demographic balance and crude rates at regional level (NUTS 3) "	"demo_r_gind3"	"dataset"	"10.10.2025"	"27.03.2025"	"2000"	"2024"	462291
"                        Population change by NUTS 2 region - Crude rates of total change, natural change and net migration plus adjustment"	"tgs00099"	"table"	"10.10.2025"	"27.03.2025"	"2012"	"2023"	11032
"                Fertility"	"reg_demfer"	"folder"	" "	" "	" "	" "	
"                    Live births (total) by NUTS 3 region"	"demo_r_births"	"dataset"	"01.04.2025"	"07.03.2025"	"1990"	"2023"	58272
"                    Live births by age group of the mothers and NUTS 3 region"	"demo_r_fagec3"	"dataset"	"07.03.2025"	"07.03.2025"	"2013"	"2023"	242464
"                    Live births by mother's age and NUTS 2 region"	"demo_r_fagec"	"dataset"	"01.04.2025"	"04.03.2025"	"1990"	"2023"	525487
"                    Fertility rates by age and NUTS 2 region"	"demo_r_frate2"	"dataset"	"01.10.2025"	"03.07.2025"	"1990"	"2023"	476278
"                        Total fertility rate by NUTS 2 region"	"tgs00100"	"table"	"01.10.2025"	"03.07.2025"	"2012"	"2023"	3618
"                    Fertility indicators by NUTS 2 region"	"demo_r_find2"	"dataset"	"01.10.2025"	"04.03.2025"	"1990"	"2023"	39407
"                    Fertility indicators by NUTS 3 region"	"demo_r_find3"	"dataset"	"01.10.2025"	"07.03.2025"	"2013"	"2023"	59418
"                Mortality"	"reg_demmor"	"folder"	" "	" "	" "	" "	
"                    Deaths (total) by NUTS 3 region"	"demo_r_deaths"	"dataset"	"14.10.2025"	"14.10.2025"	"1990"	"2023"	58344
"                    Deaths by week, sex, 5-year age group and NUTS 3 region"	"demo_r_mweek3"	"dataset"	"23.10.2025"	"22.10.2025"	"2000-W01"	"2025-W40"	80468472
"                    Deaths by age group, sex and NUTS 3 region"	"demo_r_magec3"	"dataset"	"14.10.2025"	"14.03.2025"	"2013"	"2023"	1190564
"                    Deaths by age, sex and NUTS 2 region"	"demo_r_magec"	"dataset"	"14.10.2025"	"13.03.2025"	"1990"	"2023"	4100463
"                    Infant mortality by NUTS 2 region"	"demo_r_minf"	"dataset"	"14.10.2025"	"14.10.2025"	"1990"	"2023"	12562
"                    Infant mortality rates by NUTS 2 region"	"demo_r_minfind"	"dataset"	"17.07.2025"	"13.03.2025"	"1990"	"2023"	13189
"                    Life table by age, sex and NUTS 2 region"	"demo_r_mlife"	"dataset"	"05.06.2025"	"14.03.2025"	"1990"	"2023"	25935289
"                    Life expectancy by age, sex and NUTS 2 region"	"demo_r_mlifexp"	"dataset"	"05.06.2025"	"14.03.2025"	"1990"	"2023"	3330143
"                        Life expectancy at birth by sex and NUTS 2 region"	"tgs00101"	"table"	"05.06.2025"	"14.03.2025"	"2012"	"2023"	10776
"                Census 2011 round"	"reg_cens_11r"	"folder"	" "	" "	" "	" "	
"                    Data on persons"	"cens_11rdp"	"folder"	" "	" "	" "	" "	
"                        Population structure"	"cens_11rstr"	"folder"	" "	" "	" "	" "	
"                            Population by single year of age and NUTS 3 region"	"cens_11ag_r3"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	722521
"                        Population by family characteristics"	"cens_11rfc"	"folder"	" "	" "	" "	" "	
"                            Population by marital status and NUTS 3 region"	"cens_11ms_r3"	"dataset"	"01.04.2019"	"10.01.2024"	"2011"	"2011"	1391604
"                            Population by family status and NUTS 3 region"	"cens_11fs_r3"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	1409421
"                        Population by employment characteristics"	"cens_11rec"	"folder"	" "	" "	" "	" "	
"                            Population by current activity status, educational attainment level and NUTS 2 region"	"cens_11aed_r2"	"dataset"	"01.04.2019"	"10.01.2024"	"2011"	"2011"	2425928
"                            Population by current activity status, occupation and NUTS 2 region"	"cens_11ao_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	3140674
"                            Population by current activity status, NACE Rev. 2 activity and NUTS 2 region"	"cens_11an_r2"	"dataset"	"23.07.2015"	"31.01.2024"	"2011"	"2011"	3110101
"                            Population by status in employment, occupation and NUTS 2 region"	"cens_11empo_r2"	"dataset"	"01.04.2019"	"10.01.2024"	"2011"	"2011"	3636204
"                            Population by status in employment, NACE Rev. 2 activity and NUTS 2 region"	"cens_11empn_r2"	"dataset"	"22.07.2015"	"31.01.2024"	"2011"	"2011"	3694015
"                        Population by migration characteristics"	"cens_11rmc"	"folder"	" "	" "	" "	" "	
"                            Population by country of citizenship at national level"	"cens_11ctz_n"	"dataset"	"26.08.2015"	"25.04.2024"	"2011"	"2011"	584812
"                            Population by group of citizenship, occupation and NUTS 2 region"	"cens_11ctzo_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	749466
"                            Population by country of birth at national level"	"cens_11cob_n"	"dataset"	"26.08.2015"	"25.04.2024"	"2011"	"2011"	577992
"                            Population by group of country of birth, educational attainment level and NUTS 2 region"	"cens_11cobe_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	703304
"                            Population by group of country of birth, current activity status and NUTS 2 region"	"cens_11coba_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	423244
"                            Population by group of country of birth, occupation and NUTS 2 region"	"cens_11cobo_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	744376
"                            Population by period of arrival in the country, country of birth and NUTS 2 region"	"cens_11arco_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	111558
"                    Data on families and households"	"cens_11rdf"	"folder"	" "	" "	" "	" "	
"                        Families by type, size and NUTS 3 region"	"cens_11fts_r3"	"dataset"	"23.04.2015"	"10.01.2024"	"2011"	"2011"	493066
"                        Private households by type, tenure status and NUTS 2 region"	"cens_11htts_r2"	"dataset"	"23.04.2015"	"10.01.2024"	"2011"	"2011"	57061
"                    Data on dwellings and housing arrangements"	"cens_11rdd"	"folder"	" "	" "	" "	" "	
"                        Population by housing arrangement and NUTS 2 region"	"cens_11hou_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	76991
"                        Conventional dwellings by occupancy status, type of building and NUTS 3 region"	"cens_11dwob_r3"	"dataset"	"23.04.2015"	"10.01.2024"	"2011"	"2011"	51969
"                Census 2001 round"	"reg_cens_01r"	"folder"	" "	" "	" "	" "	
"                    Population structure"	"cens_01rstr"	"folder"	" "	" "	" "	" "	
"                        Population by sex, citizenship and NUTS 3 region"	"cens_01rsctz"	"dataset"	"27.03.2009"	"03.01.2024"	"2001"	"2001"	77613
